rosbagTimestamp,layout,dim,data_offset,data
1549701415558008695,,[],0,"[99.1197509765625, 1.244537591934204]"
1549701415559843392,,[],0,"[99.1197509765625, 1.244537591934204]"
1549701415561558594,,[],0,"[99.1197509765625, 1.244537591934204]"
1549701415561839601,,[],0,"[98.88130187988281, 1.244537591934204]"
1549701415561993978,,[],0,"[98.88130187988281, 1.2518171072006226]"
1549701415562007932,,[],0,"[98.88130187988281, 1.2468023300170898]"
1549701415562204903,,[],0,"[99.00051879882812, 1.2458317279815674]"
1549701415563496424,,[],0,"[99.00051879882812, 1.2458317279815674]"
1549701415563611914,,[],0,"[99.00051879882812, 1.2458317279815674]"
1549701415563680301,,[],0,"[99.00051879882812, 1.2458317279815674]"
1549701415563713340,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415563717780,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415563775214,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415563779883,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415563784174,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415563993727,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564204200,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564382617,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564402427,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564407818,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564415247,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564420708,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564429744,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564433212,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564534507,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564542052,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564553824,,[],0,"[99.00051879882812, 1.2380670309066772]"
1549701415564559451,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564565425,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564571047,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564587387,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564838322,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564854051,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564864745,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415564898533,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415565023231,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415565277474,,[],0,"[99.00051879882812, 1.2463170289993286]"
1549701415595517222,,[],0,"[99.00051879882812, 1.2490670680999756]"
1549701415595549058,,[],0,"[99.00051879882812, 1.2490670680999756]"
1549701415595559764,,[],0,"[99.00051879882812, 1.2537583112716675]"
1549701415595565573,,[],0,"[99.00051879882812, 1.242919921875]"
1549701415595571244,,[],0,"[99.00051879882812, 1.242919921875]"
1549701415595577701,,[],0,"[99.00051879882812, 1.242919921875]"
1549701415595584470,,[],0,"[99.00051879882812, 1.2529494762420654]"
1549701415595599474,,[],0,"[99.00051879882812, 1.2529494762420654]"
1549701415595618680,,[],0,"[99.00051879882812, 1.2471258640289307]"
1549701415595624024,,[],0,"[99.00051879882812, 1.2471258640289307]"
1549701415595631043,,[],0,"[99.00051879882812, 1.2327287197113037]"
